FID,name,address,products,latitude,longitude
138,Veterinaria Bachilleres,"Valentin Fuentes   Col. San Miguel De Allende, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.71919912,-106.4318502
139,Veterinaria Batista,"De Los Aztecas 6909  Col. Libertad, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.68531966,-106.4790124
140,Veterinaria Campanario,"Paseo De Compositores 1514  Col. El Campanario, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61127031,-106.3947606
141,Veterinaria Casas Grandes,"Licenciado Oscar Flores Sanchez   Col. Kilometro 5, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.69968484,-106.44328
142,Veterinaria Castaneda,"Ramon Rayon   Col. Rinconada De Las Torres Iii, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.61847467,-106.3773362
143,Veterinaria Catalan,"Manuel Gomez Morin   Col. Del Crucero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72402449,-106.4240673
144,Veterinaria Cats And Dogs,"Manuel Gomez Morin 1525  Col. Fidel Avila, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6803403,-106.3711613
145,Veterinaria Central,"Aeronautica  7 Col. Jardines Del Aeropuerto, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62011369,-106.4402935
146,Veterinaria Cerevet,"Mesa Central 2915  Col. Profesora Simona Barbara, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.5940779,-106.3722267
147,Veterinaria Chanoc,"Juarez-Porvenir   Col. Zaragoza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6479794,-106.3553231
148,Veterinaria Charly,"16 De Septiembre 681  Col. Monumento, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73892943,-106.4778894
149,Veterinaria Consu Vet,"Juarez-Porvenir 880  Col. Zaragozita, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6388293,-106.3384258
150,Veterinaria D Bulls,"Morence 243 4 Col. Praderas Del Sur, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.62130807,-106.3724179
151,Veterinaria Del Angel,"Antiguo Camino A San Jose   Col. Partido Iglesias, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.70655458,-106.4242427
152,Veterinaria Del Desierto,"Juarez-Casas Grandes   Col. Km20, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60723502,-106.4585564
153,Veterinaria Del Norte,"Zaragoza 1009  Col. 1Ro De Mayo, Juarez, Chihuahua",Consultorios de medicina general del sector privado,31.66047051,-106.4507543
154,Veterinaria Del Poniente,"Chiapas   Col. Fronteriza, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73450758,-106.529187
155,Veterinaria Division Del Norte,"Division Del Norte 2808  Col. Emiliano Zapata, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.72494471,-106.5056347
156,Veterinaria Doctor Portillo,"Eduardo Estrada Garcia 339  Col. Horizontez Del Sur, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.60918267,-106.3790008
157,Veterinaria Dog T,"Mesa Central 2754  Col. Olivia Espinoza De Bermudez, Juarez, Chihuahua",Comercio al por menor de mascotas,31.59728146,-106.3683846
158,Veterinaria Dog T,"Desierto De Argentina 1527 24 Col. Carlos Chavira Becerra, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.59583939,-106.358988
159,Veterinaria Doguito,"Perimetral Carlos Amaya 2418  Col. Azteca, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.6957266,-106.4704486
160,Veterinaria Dos Amigos,"Barranco Azul 1211  Col. Toribio Ortega, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64494686,-106.4586742
161,Veterinaria Dos Amigos,"Barranco Azul   Col. Colonia Toribio Ortega, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.64505759,-106.4588761
162,Veterinaria Dr. De Leon,"Montes Urales 6621  Col. Lomas Del Rey, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.67085319,-106.4295186
163,Veterinaria Dr. Miguel Guevara,"16 De Septiembre 0  Col. Partido Romero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.73817487,-106.467693
164,Veterinaria Edli Centeno,"Centeno 7509  Col. Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.66510549,-106.4161498
165,Veterinaria Edli,"Trigo 7511  Col. Granjero, Juarez, Chihuahua",Servicios veterinarios para mascotas ,31.665891,-106.4148605
166,Veterinaria El Potro,"Tecnologico 0  Col. Granjas Polo Gamboa, Juarez, Chihuahua",Comercio al por menor de mascotas,31.59315581,-106.4584163
